main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35997.659219424895, 15723.831740620712] (2) [35563, 15848]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35894.686704918204, 15701.02677701092] (2) [35563, 15848]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35894.686704918204, 15701.02677701092] (2) [35489, 15843]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35859.61497775306, 15692.541895391863] (2) [35489, 15843]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35859.61497775306, 15692.541895391863] (2) [35412, 15829]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35781.0367582737, 15679.745995478264] (2) [35412, 15829]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35581.74093772918, 15683.930279757536] (2) [35271, 15790]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35581.74093772918, 15683.930279757536] (2) [35271, 15790]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35510.330227520666, 15685.45529538884] (2) [35171, 15757]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35510.330227520666, 15685.45529538884] (2) [35171, 15757]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35392.472693619886, 15674.997378222046] (2) [35127, 15743]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35348.72725748092, 15620.616416637822] (2) [35127, 15743]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35348.72725748092, 15620.616416637822] (2) [35014, 15708]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35329.721558719815, 15586.95704636387] (2) [35014, 15708]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35326.98598212401, 15574.251091654885] (2) [34937, 15688]
main_provisional_multimodal.js:1667 カメラと実際の位置 (2) [35326.98598212401, 15574.251091654885] (2) [34937, 15688]
